"","CASE_ID","GPS_NAC_ADOPTER","SURVEY_SOURCE","STATE","HOME","HAVESOLAR","PROMPT1","PROMPT2","PROMPT3","PROMPT4","PROMPT5","PROMPT6","PROMPT7","PROMPT8","PROMPT9","PROMPT10","PROMPT11","PROMPT12","PROMPT13","PROMPT14","PROMPT15","PROMPT_HOME1","PROMPT_HOME2","PROMPT_HOME3","PROMPT_HOME4","PROMPT_HOME5","TIME_CONSIDERED","INST_TALKEDTO","INST_QOTE_BUY_TEXT_CLND","INST_QOTE_LSE_TEXT_CLND","MOTIVE1","MOTIVE2","MOTIVE3","MOTIVE4","MOTIVE5","MOTIVE6","MOTIVE7","MOTIVE8","MOTIVE9","INFLNC_SAW","INFLNC_PPLTALK","INFLNC_ADS","INFLNC_OTHKNEW","INFLNC_OTHKNEW_NUM","INFLNC_OTH_MULT1","INFLNC_OTH_MULT2","INFLNC_OTH_MULT3","INFLNC_OTH_MULT4","INFLNC_OTH_MULT5","INFLNC_OTH_MULT6","INFLNC_OTH_MULT7","INFLNC_OTH_ONE1","INFLNC_OTH_ONE2","INFLNC_OTH_ONE3","INFLNC_OTH_ONE4","INFLNC_OTH_ONE5","INFLNC_OTH_ONE6","DIFFICULTY1","DIFFICULTY2","DIFFICULTY3","DIFFICULTY4","DIFFICULTY5","DIFFICULTY6","CONCERN1","CONCERN2","CONCERN3","CONCERN4","CONCERN5","CONCERN6","CONCERN7","CONCERN8","CONCERN9","NPS_PANELS","ECONEVAL","ECONEVAL_SVG_PERIOD","ECONEVAL_SVGS_CLND","ECONEVAL_PYBK","ECONEVAL_PYBK_YRS_CLND","ECONEVAL_ROR","ECONEVAL_ROR_PCT_CLND","WINTER_NOPV_BINNED","SUMMER_NOPV_BINNED","PN1","PN2","PN3","E2","BB1","BB2","BB3","BTE8","BE13","BE10","Co3","VB1","VB2","VB3","VA1","VA2","VA3","VT1","VT2","VT3","VE1","VE2","VE4","VO1","VO2","VO3","RISK_AVERSION_CLND","DISCOUNTING_CLND","CIJM1","CIJM2","CIJM3","CNS1","CNS2","CNS4","HOME_MOVED_SINCE2009","SQFT_BINNED","EE1","EE2","EE3","EE4","EE5","EE6","EE7","EE8","HMYRS_1","HMYRS_1_CLEANED","HAS_POOL","HAS_AC","STANCE","PEOPLE_TOT_3PLUS","HAVE_KIDS","GENDER","AGE_BINNED","EDUC_BINNED","FINANCIAL","INCOME_BINNED","RETIRED","RETIRED_LAST5YRS","RETIRE_WHEN","RETIRE_WHEN_BINNED","type"
"965",2307,3,2,4,NA,"1",1,0,1,0,0,0,1,1,1,1,1,0,1,0,0,NA,NA,NA,NA,NA,4,1,1,1,4,3,3,4,5,4,5,3,1,4,4,4,1,3,3,1,2,2,2,2,2,NA,NA,NA,NA,NA,NA,2,1,1,1,1,1,3,4,3,1,5,2,3,1,1,11,1,1,200,NA,NA,NA,NA,NA,NA,5,5,5,5,5,5,5,5,5,4,5,5,5,5,4,5,4,3,3,3,2,3,3,2,3,5,300,5500,4,4,4,1,1,1,1,2,1,1,1,1,0,0,0,0,2,10,0,0,1,0,0,1,4,NA,2,1,0,NA,98,NA,1
"966",2308,3,2,4,NA,"1",0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,NA,NA,NA,NA,NA,3,1,0,0,5,5,5,5,5,5,5,5,5,5,5,5,1,4,3,1,3,2,3,3,2,NA,NA,NA,NA,NA,NA,1,2,1,2,1,1,3,3,3,3,3,3,3,3,3,11,1,1,100,NA,NA,NA,NA,8,NA,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,100,1e+06,3,3,3,2,2,2,0,3,1,0,0,0,0,0,0,0,3,NA,0,1,3,0,0,1,3,3,1,99,1,0,NA,NA,1
"967",2309,3,2,4,NA,"1",0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,NA,NA,NA,NA,NA,6,3,1,1,5,3,3,5,5,1,5,5,3,3,3,3,1,3,2,1,2,2,2,1,1,NA,NA,NA,NA,NA,NA,1,1,1,1,3,1,4,4,3,5,5,4,4,5,5,11,1,98,NA,NA,NA,NA,NA,3,11,5,2,5,3,5,2,5,5,4,5,5,5,3,3,3,3,3,5,5,3,2,3,3,3,2,2,5,7500,3,3,3,1,1,2,0,4,1,0,1,1,0,0,0,0,2,10,0,1,5,0,0,1,3,4,1,5,0,NA,1,2,1
"968",2310,3,2,4,NA,"1",0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,NA,NA,NA,NA,NA,2,1,1,1,4,2,3,3,5,5,5,2,2,4,3,3,1,1,NA,NA,NA,NA,NA,NA,NA,1,0,1,0,1,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,11,1,1,300,NA,NA,NA,NA,11,11,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,5,1,5,5,5,1,5500,3,3,4,2,2,2,0,3,1,0,1,0,1,0,1,0,3,NA,1,1,2,0,0,1,4,2,1,1,1,0,NA,NA,1
"969",2311,3,2,4,NA,"1",0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,NA,NA,NA,NA,NA,4,1,0,1,5,4,3,4,4,2,5,1,3,2,3,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,1,1,1,2,3,2,3,4,3,1,2,1,1,11,1,1,50,NA,NA,NA,NA,6,5,5,5,4,5,5,98,5,4,5,5,5,5,4,3,5,5,5,3,5,4,1,1,1,3,3,3,5,8000,4,3,2,1,1,3,0,NA,0,0,0,1,0,1,0,0,2,10,1,1,1,1,0,0,3,2,1,4,0,NA,1,2,1
"970",2312,3,2,4,NA,"1",0,0,1,0,0,0,0,1,0,1,0,1,0,1,0,NA,NA,NA,NA,NA,6,3,0,2,5,5,5,5,5,5,3,2,5,3,3,3,1,2,98,99,1,98,98,98,98,NA,NA,NA,NA,NA,NA,1,1,2,1,1,1,4,99,4,1,4,3,4,1,99,11,1,1,NA,NA,NA,NA,NA,7,6,3,2,2,2,2,2,2,5,2,5,2,4,5,4,4,2,4,0,5,4,1,4,2,5,4,4,0,0,4,4,2,4,3,4,1,4,0,0,0,0,0,0,0,1,1,NA,1,1,5,1,0,0,4,4,3,2,1,1,NA,NA,1
"971",2313,3,2,4,NA,"1",0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,NA,NA,NA,NA,NA,1,1,0,1,5,1,1,5,2,2,2,2,2,4,4,3,1,2,3,1,3,3,2,2,3,NA,NA,NA,NA,NA,NA,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,8,1,98,NA,NA,NA,NA,NA,4,6,3,3,3,5,4,4,3,5,98,4,4,2,2,3,3,5,3,5,5,3,3,3,3,3,3,3,250,5250,3,3,4,3,3,3,1,1,0,0,0,0,0,0,0,1,3,NA,0,1,4,0,0,1,1,NA,1,4,0,NA,1,6,1
"972",2314,3,2,4,NA,"1",1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,NA,NA,NA,NA,NA,3,3,3,0,5,5,4,5,3,3,4,3,3,1,1,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,3,1,1,1,3,3,3,1,4,1,1,1,1,9,1,1,200,NA,NA,NA,NA,7,9,3,4,4,3,4,4,4,4,4,5,5,3,3,4,3,2,3,3,4,4,2,2,3,3,2,2,0,0,3,3,3,3,3,3,0,4,1,1,1,1,0,0,1,0,3,NA,0,1,90,0,0,0,NA,2,1,95,1,1,NA,NA,1
"973",2315,3,2,4,NA,"1",0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,NA,NA,NA,NA,NA,6,2,0,2,3,1,4,4,5,5,5,5,3,3,4,3,1,2,2,3,3,3,3,1,1,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,2,2,1,1,2,1,2,1,1,11,4,NA,NA,NA,NA,NA,NA,4,3,5,4,5,5,3,2,4,4,98,4,4,4,3,3,3,3,4,4,3,2,1,1,2,3,3,3,100,10000,3,2,3,1,1,2,1,1,0,1,1,1,0,0,0,0,2,10,0,0,2,NA,99,1,1,2,2,95,0,NA,98,NA,1
"974",2316,3,2,4,NA,"1",1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,NA,NA,NA,NA,NA,6,3,2,2,5,5,2,2,3,1,3,2,1,4,3,4,1,1,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,1,0,1,1,3,1,1,1,3,3,3,1,3,2,3,1,1,10,3,NA,NA,NA,NA,1,11,6,6,3,4,4,5,4,2,4,4,4,4,4,3,3,3,4,3,3,3,4,3,3,3,3,3,4,3,1,6000,3,3,3,2,2,3,0,4,1,1,1,1,1,0,0,0,3,NA,1,1,3,0,0,0,3,4,1,2,1,1,NA,NA,1
