"","CASE_ID","GPS_NAC_ADOPTER","SURVEY_SOURCE","STATE","HOME","INST_QOTE_LSE_TEXT_CLND","MOTIVE1","MOTIVE2","MOTIVE3","MOTIVE4","MOTIVE5"
"100",1441,3,2,1,NA,0,5,4,5,5,4
"101",1442,3,2,2,NA,0,5,5,4,5,5
"102",1443,3,2,4,NA,1,5,5,4,4,3
"103",1444,3,2,2,NA,1,5,99,99,99,99
"104",1445,3,2,4,NA,1,5,3,3,5,4
"105",1446,3,2,1,NA,1,5,3,1,5,2
"106",1447,3,2,4,NA,4,5,4,3,5,4
"107",1448,3,2,4,NA,0,5,5,5,5,4
"108",1449,3,2,4,NA,1,5,5,5,5,5
"109",1450,3,2,4,NA,4,4,4,3,5,5
"110",1451,3,2,4,NA,2,5,5,5,5,3
"111",1452,3,2,4,NA,2,5,5,4,5,1
"112",1453,3,2,4,NA,1,5,5,1,5,4
"113",1454,3,2,4,NA,0,4,3,3,4,5
"114",1455,3,2,4,NA,1,2,98,98,5,5
"115",1456,3,2,4,NA,0,3,99,3,3,3
"116",1457,3,2,4,NA,0,5,5,5,5,5
"117",1458,3,2,4,NA,2,4,4,98,4,4
"118",1459,3,2,4,NA,1,5,5,4,5,3
"119",1460,3,2,4,NA,2,5,5,3,5,5
"120",1461,3,2,2,NA,1,5,1,2,5,5
"121",1462,3,2,4,NA,1,5,5,2,5,3
"122",1463,3,2,2,NA,0,5,5,5,5,5
"123",1464,3,2,1,NA,1,5,1,4,3,5
"124",1465,3,2,2,NA,0,99,1,99,99,1
"125",1466,3,2,1,NA,1,5,1,4,4,4
"126",1467,3,2,4,NA,1,5,5,5,5,5
"127",1468,3,2,2,NA,2,4,4,4,4,4
"128",1469,3,2,1,NA,1,5,1,5,5,5
"129",1470,3,2,4,NA,3,5,99,99,3,99
"130",1471,3,2,4,NA,1,5,1,4,5,5
"131",1472,3,2,4,NA,2,5,1,3,5,5
"132",1473,3,2,4,NA,1,5,5,4,5,4
"133",1474,3,2,4,NA,0,5,4,3,4,5
"134",1475,3,2,2,NA,1,5,3,2,5,5
"135",1476,3,2,4,NA,2,5,2,1,3,4
"136",1477,3,2,4,NA,NA,5,5,5,5,3
"137",1478,3,2,4,NA,1,3,3,3,4,4
"138",1479,3,2,4,NA,1,5,1,3,5,5
"139",1480,3,2,2,NA,3,5,5,3,4,3
"140",1481,3,2,4,NA,0,2,1,3,4,5
"141",1482,3,2,4,NA,2,5,1,4,5,5
"142",1483,3,2,4,NA,0,5,3,3,5,3
"143",1484,3,2,4,NA,1,4,4,2,4,2
"144",1485,3,2,4,NA,2,5,5,5,5,1
"145",1486,3,2,4,NA,2,5,5,5,5,5
"146",1487,3,2,1,NA,0,3,3,5,98,5
"147",1488,3,2,4,NA,0,4,1,2,5,5
"148",1489,3,2,4,NA,1,5,1,3,5,3
"149",1490,3,2,4,NA,1,5,3,3,5,5
"150",1491,3,2,2,NA,0,5,5,2,5,1
"151",1492,3,2,2,NA,1,5,1,4,4,4
"152",1493,3,2,4,NA,3,5,3,3,5,4
"153",1494,3,2,1,NA,NA,5,5,2,5,5
"154",1495,3,2,4,NA,0,5,5,3,5,5
"155",1496,3,2,4,NA,0,5,1,2,3,4
"156",1497,3,2,4,NA,0,5,1,3,5,4
"157",1498,3,2,4,NA,1,5,5,5,5,5
"158",1499,3,2,4,NA,1,5,5,3,5,3
"159",1500,3,2,4,NA,0,5,1,5,5,5
"160",1501,3,2,4,NA,0,5,3,2,4,4
"161",1502,3,2,4,NA,2,5,1,1,5,5
"162",1503,3,2,4,NA,2,4,5,4,2,5
"163",1504,3,2,4,NA,1,5,3,1,5,5
"164",1505,3,2,4,NA,1,5,4,4,5,4
"165",1506,3,2,4,NA,0,5,5,5,5,3
"166",1507,3,2,4,NA,1,3,2,1,4,5
"167",1508,3,2,1,NA,1,5,1,4,5,5
"168",1509,3,2,4,NA,2,4,4,3,4,5
"169",1510,3,2,4,NA,1,5,5,4,4,3
"170",1511,3,2,4,NA,1,5,3,3,5,5
"171",1512,3,2,4,NA,1,5,4,3,5,4
"172",1513,3,2,4,NA,1,5,3,3,5,3
"173",1514,3,2,2,NA,2,5,5,4,5,5
"174",1515,3,2,4,NA,0,4,4,3,4,4
"175",1516,3,2,1,NA,1,5,5,3,3,5
"176",1517,3,2,4,NA,0,5,5,5,5,5
"177",1518,3,2,4,NA,2,5,5,5,5,5
"178",1519,3,2,4,NA,0,5,4,5,5,5
"179",1520,3,2,4,NA,3,4,4,3,5,4
"180",1521,3,2,4,NA,0,2,2,1,2,5
"181",1522,3,2,2,NA,1,5,1,2,3,3
"182",1523,3,2,2,NA,1,4,2,3,4,5
"183",1524,3,2,4,NA,0,5,5,3,5,1
"184",1525,3,2,4,NA,1,5,4,4,4,4
"185",1526,3,2,1,NA,1,5,1,5,5,5
"186",1527,3,2,4,NA,0,5,3,3,4,1
"187",1528,3,2,4,NA,1,5,5,3,5,5
"188",1529,3,2,4,NA,3,4,3,2,4,4
"189",1530,3,2,4,NA,1,4,3,3,4,3
"190",1531,3,2,2,NA,1,5,5,5,5,5
"191",1532,3,2,4,NA,2,5,2,4,5,4
"192",1533,3,2,4,NA,0,5,5,5,5,5
"193",1534,3,2,1,NA,1,4,4,4,4,5
"194",1535,3,2,2,NA,1,5,1,4,5,4
"195",1536,3,2,4,NA,0,2,2,2,2,5
"196",1537,3,2,4,NA,1,5,5,3,5,4
"197",1538,3,2,4,NA,1,5,99,4,5,4
"198",1539,3,2,1,NA,1,4,3,4,4,4
"199",1540,3,2,4,NA,0,5,1,1,5,5
"200",1541,3,2,4,NA,2,5,4,4,5,4
"201",1542,3,2,4,NA,1,5,1,4,5,5
"202",1543,3,2,2,NA,2,5,4,5,5,5
"203",1544,3,2,4,NA,0,5,5,3,5,4
"204",1545,3,2,4,NA,1,5,5,5,5,5
"205",1546,3,2,4,NA,0,5,1,3,5,2
"206",1547,3,2,1,NA,1,4,4,2,4,5
"207",1548,3,2,4,NA,1,5,1,1,1,1
"208",1549,3,2,4,NA,3,4,4,4,4,4
"209",1550,3,2,4,NA,3,5,5,5,5,3
"210",1551,3,2,4,NA,0,3,3,3,2,5
"211",1552,3,2,4,NA,1,5,5,4,5,4
"212",1553,3,2,3,NA,3,5,5,5,5,5
"213",1554,3,2,4,NA,2,3,1,1,3,3
"214",1555,3,2,4,NA,1,5,5,1,4,3
